text,score
"  When is extra leg room, extra leg room. 11 of us travelled on Emirates from Bham to Dubai/Sydney 28 October 23 and returned 16 Nov back into Bham EK0039 flight. We paid for extra leg room seats 80J K H so that we could relax and have sleep on the long journeys ahead of us. On 3 of the trips the air stewards were respectful of our space, given we were next to where they served the food and drinks with their trolleys. They were all quiet during the long flights once drinks and food had been served so myself, husband and son could sleep. However, on the flight from Dubai to Bham this could not be a worse experience if Emirates tried. The team were inexperienced (bar one professional) one of them swearing so we could hear F""** word as the curtains were left open, explaining what she required in men. The food and drinks trolley was left next to my husband within an inch of his feet so they stepped over him each time, apologising for waking him up over the next 3 hours. A team of 6 stood in our area having a meeting. After 4 hours into the 8 hr flight, I politely asked if they could move the trolley so we were not disturbed and it was really disrespectful given we had paid extra for the seat. The deputy and mgr came to see us to apologise and talk to their team and moved the trolley. I showed the mgr a picture. The mgr took my phone and email details to formally respond, but 9 days later still no response. Very disappointing, given 11 of us travelled. The previous 3 flights were really good.",0
"  Toronto to Istanbul. Check in and boarding were smooth. Onboard, the aircraft interior looked worn, the air was stale and sticky. The socks and bottles of salad dressing from the previous flight were left on the seat indicating a poor clean-up and prep effort. The seat was comfortable in both the upright and lie flat position allowing me to get a decent night's sleep. The catering was a let-down and a significant deterioration from what I have experienced on previous TK flights. There were no pre meal canapés, appetizers were limited and main course was bone dry. The wine list featured the same labels as they had 12 months ago. The IFE was OK but could have used more recent releases. The FA's were slow in their service and tended to mill around the galley. Toilets were kept in reasonably good state throughout the flight. The wifi was good and operated without interruption. The flight left late but landed on schedule. Overall it was a decent experience but the decline in catering quality was very obvious.",1
"  Toronto to Chennai via Doha. It is troubled times with COVID-19 and India was under lockdown. Had to reschedule tickets a couple of times due to restrictions and restricted airspace. Qatar Airways Contact Centre Rep was so very patient, most helpful, empathetic and understood the pressure of the situation and provided multiple options. We don’t see that many people in our day to day life. Thank you.",1
"  This was the 2nd leg of our journey from Gatwick to Ho Chi Minh City with Emirates, the first having been on a A380. We arrived in the morning local time and left in the morning local time. The food on the first leg was ok - not brilliant, but not awful just average. When we got on the next flight we were served a seafood lunch, at 9 am (ish) local time or 6 am as per our body clocks. Needless to say it remained untouched. Can't fathom why a lunch was served so early in the day. The bus from terminal to plane was extraordinarily long and seemed to take for ever but was most definitely at least 20-25 mins. The aircraft itself was definitely very dated and the seats far from the best. All in all it was a distinctly average experience and isn't likely to encourage us to use Emirates in the future. Having said all of that it was relatively cheap for Business class so I guess in this instance you sort of get what you pay for. (Best food to date was on ANA, best seats on Qantas A380)",0
"  The most unreliable I've ever flown with. Before the trip, I confirmed my pet in cabin several times with several different representatives over the phone. A day before the flight, I called, just I case - and found out that my pet was not confirmed. Since they had never sent me an email with my itinerary or with pet confirmation in the first place, though I kept asking, they forced me to pay $400 to change my ticket. Because there were no spots for a pet in cabin, they changed me to a later date and to a different city. I lost a bunch of other connecting reservations, several days wages, etc. Also, they set up an additional checkup at the gate and search passengers luggage and showed me a fake printout supposedly from USA's TSA that says something about liquids over 100ml not allowed and told me, ""this is your country's regulations"". I quickly googled up the real TSA page, where it says that TSA allows up to 1 liter of hard liquor, as long as it's in a sealed Duty Free bag with the receipt inside. But they took my whiskey anyway.",0
  Los Angeles to Hong Kong. The seat and new bedding were very good. The meal service was rushed and below average. The breakfast was just not good. After the first meal service no drinks were offered and the flight crew disappeared. The next time you saw the crew was at the breakfast service. I think next time I will choose a different carrier. ,0
"  The airline facilities were fantastic. It was my first time flying business in the Qsuite with Qatar Airways as I was travelling from australia to Europe. When waiting to board the flight there was no priority lane for business class passengers. Once I had boarded, I would have appreciated a better welcome and more information regarding the services on board. Unfortunately I was mostly ignored by staff when I got into my seat except when I had the do not disturb sign on. I was awakened as the air steward who he needed to know my meal preference. It was a 14 hour flight. I do not understand the urgency from the staff. It defeats the purpose of even having a do not disturb sign.  I was not offered any bedding on the flight. ",0
"  Atlanta to Nairobi via Istanbul. My experience begun with trying to book a reservation on the company portal on 4th November currently having a choice of 2 systems. Between dodging the prompt on whether you want to use “old version” or “new version” I struggled to reserve a round trip from Atlanta to Nairobi 19th November 7, 2017 return 27th December 2017 only to discover minutes later when going to print off ticket that it was wrong! The information was captured inaccurately, I just had one way ticket that was outbound with my return date on it. Confident that this is an easy fix after years of travelling with other gulf region airlines, I immediately reach out to the Sales Office in Atlanta which rings endlessly without any answers. Very surprised but again in good faith reached out to the call center number provided. This was a nightmare, the first agent could barely speak English and any attempt to get the name was met with callous response of – why are you calling. Speaking very slowly and clearly as it was obvious there was minimal comprehension, agent also confirming he could not understand leaving me very confused I patiently informed of the situation explaining that I was looking for a round trip ticket but believed there was a technical issue as screens kept switching between 2 versions on the portal. Eventually I was transferred to another department which I was informed would resolve the issue and unprofessionally transferred. I had to go through the same process. On the 6th when calling in for a status, as I tried to review the issue to the first agent, she told me she doesn’t have to talk to me if I was calling for a status and I had to persist that she could not treat customers that way. This was the first time ever to attempt to use Turkish Airline and it is quite a rude shock. Eventually I was transferred to another department to an incoherent agent who sarcastically informed me that I could call back to speak to a more articulate agent. Not believing a corporation like this does not have people who could comprehend the issue, I made another attempt to call back and request to speak with a manager and explain that I needed a resolution with my primary goal is to get the correct ticket that I reserved as I still intended to take the trip. I persevered the same call process all over again and this time found an agent, more coherent and a little patient only for him to tell me they had emailed me a response and that my request was denied. When I sought for clarification or a manager he informed me that there are no managers there and he read a script out. This is very disturbing, there’s no professional etiquette to this cycle of events even more so, my issue has not been addressed. It seems to be more about the money than customer satisfaction. My trip is about 50 hours away but I have the wrong ticket and no resolve. I have never experienced such a service in my many years of travel. I am hoping management will actually resolve the issue and not just respond without addressing the concern. I shudder at the thought of what lays ahead in the flight if this is the type of service they have before you even travel.",0
  Istanbul to Podgorica. Both flights were on time. Smooth check in. New aiircraft and very clean. Staff friendly enough and even for the short distance we had drink and food. Nothing to complain.,1
"  Paris to Chicago. Very attentive, courteous service in flight by the cabin crew on AF 0136. I wish our US domestic carriers could follow suit I highly recommend Air France.",1
  Brisbane to Dubai. I am a skywards gold member and has used this airline for few years. The quality of late has been inconsistent with some sectors offering fantastic service but some offering poor service. I have noted that they don't strictly stick to skyward status while upgrading and some passengers with lower tier status get upgraded if flying in economy over more loyal passengers. I will be taking my business to another airline as they don't reward loyalty and service is not that great anymore.,0
"  Qatar Airways is undoubtedly the best airline. From booking my tickets on line to online checkin, airport services, in flight comfort, cabin crew, transfer at Doha, everything was just amazing. Although tickets were comparatively expensive however services were value to money.",1
"  My recent experience with Turkish Airlines has been extremely disappointing. I used to be a loyal customer, but my recent flights have been nothing short of a nightmare. The flight from Prishtina to Istanbul was delayed for hours, from 8:25 pm to 11:50 pm, with no communication or updates provided. To make matters worse, the flight from Istanbul to Doha was abruptly canceled, leaving passengers in complete darkness with zero information. Upon reaching the airport, I was greeted by an outrageously long queue. While Turkish Airlines did arrange a hotel for us, it was located two hours away from the airport. By the time we were able to check in, it was already 6 in the morning. My rescheduled flight for today at 8:45 pm has been subject to continuous delays, and I am currently stranded at the airport with no information or assistance. Even my attempts to seek help at the Turkish Airlines care point were futile due to the never-ending queue. This entire experience has been a nightmare, and I have never felt so let down by an airline. I can confidently say that I will never choose to fly with Turkish Airlines again. This level of irresponsibility and lack of communication is simply unacceptable. It's been a horrible ordeal that I wouldn't wish on anyone.",0
"  New York to Delhi return via Dubai. The staff  did not seem properly trained. The communication is difficult because some staff cant speak English very well.  At Delhi airport, I was three hours early ready to get on board but some  employee told me to stand in line to get checked in. They didn't properly guide us or let us board the flight. The line was extremely long and it took me 1.5 hours to get checked in. I discussed my issues with one of the employees and told him I am not happy with the service. His response was very poor and he seemed to not understand the issue. On the flight to Delhi, we requested an Asian meal but they denied to gave us an Asian meal on the flight, which I found very strange. After reaching Dubai, the security man was asking so many question and checked my handbag very vigorously. I asked the security guy why he was being so aggressive with my belongings and he explained to me my boarding password code was ""SSSS"", which means they have to check your body and bag very seriously. The flight from Dubai to JFK was better, but again, they failed to serve us any Asian vegetarian food. I will not be flying with this airline in the future.",0
"  Munich to Bahrain via Istanbul. I have had a horrible experience with Turkish Airline. We missed our flight due to them not updating the screens in the airport to Boarding status. All other flights were doing that, as I was watching the screen being updated for every flight very frequently. I thought the flight is simply late. And we didn't notice people queueing because we were in a sitting area not facing the gate, simply relying on the screens to show boarding status like all other flights do. So we waited and waited while watching the screens. But all my alertness was of no use. We were there early yet missed the flight. They denied their fault and deflected the problem back on us. The made us pay 3500 USD worth of money, plus accommodation we had to pay ourselves to stay near the airport for a day. I will never forgive Turkish Airlines for what they did.",0
"  London to Manila via Dubai. Here is an airline that has deteriorated in a spectacular fashion. I have flown with Emirates since the late 90's and had not used them recently. I decided to use them this year. What a shock! This was not the Emirates that I used to know and liked immensely. Their aircraft are dirty and their staff, both on the ground and in the air, are inept and downright rude. In my particular case, i originally booked flights from Gatwick to Manila, via a two hour stopover in Dubai. After paying for the flights, Emirates emailed me to say that the schedules had changed and I was now on a flight from Heathrow with a one hour stopover in Dubai. To be honest, i was somewhat wary of such a tight connection time but I (in hindsight) stupidly trusted Emirates to get me to my destination on time. Well, the inevitable happened. The flight from Heathrow was delayed, thus causing me to miss my connecting flight to Manila. Incidentally, having checked this particular flight (EK004), it appears that it has been late departing from Heathrow virtually every evening. I would love to know how many other Manila bound passengers have missed their connection in this way over the last three months. The Emirates ground crew at Dubai were next to useless, accommodating us in a shabby hotel in Dubai for a few hours and then sticking us on a Hong Kong bound flight that evening, to connect with a Philippine Airlines flight the following morning. In short, a planned 17 hour, 1 stop journey became a 30 hour, 2 stop journey. I contacted Emirates and asked why we had not been placed on the direct flight from Dubai to Manila that evening. We would have still been late, but at least we would not have had to connect in Hong Kong. As yet, no answer. In fact, the response from Emirates has been condescending and wholly unsatisfactory. The Dubai ground crew and the Emirates customer service office give the impression that they are doing the delayed passengers a huge favour by shipping them out on a little bus to a Dubai hotel for a few hours and then placing them on later, non-direct flights. The customer services rep in his email to me even had the brass neck to point out how expensive it is for Emirates to re-book us on to another airline at Hong Kong.  Here's an idea Emirates, stop re-scheduling passengers on to flights with almost impossible connection times and get your passengers to their destinations as advertised. In conclusion, we missed a late evening meet up with friends in Manila and I had to fork out £160 for new internal flights to our final destination, as we had missed our original flights in Manila. Any potential Emirates passengers out there, read these reviews and take heed. Avoid the headaches and book with an airline who actually know what they are doing. I certainly shall in future.",0
"  Emirates customer service has certainly dropped their game since I last flew with them a few years ago. An overnight flight from Barcelona to Dubai - simple enough request for a toothbrush kit at end of flight to be advised they no longer do this. This is despite being given a kit only 2 weeks prior on a flight from Sydney to Dubai (to which they answered they do as its 'long haul'). Also, the beef option for the dinner meal had far too much salt in it, could not eat it. If you're not an Emirates frequent flyer it seems they do little to try to get you to become one. I'll stick to Qatar Airways in future when flying from Australia abroad, far superior service.",0
"  London to Abu Dhabi via Doha. It was my first time flying with Qatar Airways and I was very impressed. Plane was really lovely inside, comfortable seats and 'lobby' entrance with lovely lights effects was stunning. Good selection of food and drinks and professional cabin crew. It was really above and beyond. I recommend this airline for people who looking for comfort and good service. Hope will fly with them again.",1
  Paris to Montréal. The Cabin crew was very friendly. The seat was very uncomfortable and the premium economy food and drinks the same as economy class. It is definitely not worth spending so much money for this low quality.  Aircraft was old and dirty.,0
"  Istanbul to Milan. I was carrying only a cabin luggage, had already checked in before arrival at airport. It took just 15min from arriving at airport until after Passport security. Boarding starts 1 hour prior to flight, unnecessary long, because when I was on time at the gate I still had to wait like 20min until boarding started. Flight was pleasant, they offered me wider seat to make me more comfortable. The crew was nice and kind except for one guy, he has forgotten was smiling means. Food was excellent. Entertainment was excellent. But be careful the service and staff quality is decreasing while the prices are increasing.",1
  Atlanta to Paris. I always thought that Air France is a good airline. I used them several times and I want people to know that crew on board the plane is fantastic no problems there whatsoever. However it really sucks when you call customer service to find out if they found the missing luggage and the person behind the phone treats you like your just an amount of dollar not a human being without your clothes and medication. I've never being humiliated in that way in my life.,0
"  
Munich to Doha. The flight is currently done by a new LATAM airplane which I assume is leased by Qatar Airways. The cabin crew and the entertainment system however is Qatar Airways. I’ve experienced a very friendly staff at the check in as well as within the cabin. Even with the regular seats they are pretty comfortable.",1
  Very bad experience from this airline. Our route was Stockholm -- Istanbul - Sharm el Sheikh and back. Both flights to and from Istanbul to Sharm had been cancelled for no reason and we were forced to choose another flight one day later with long transit time (over 7 hours). We paid for seat reservation but no seats were reserved. Cabin crew weren't nice and helpful at all. ,0
"  Venice to Male via Doha. I chose Qatar Airways because of the lower pricing and good time schedule. The flight experience has been quite amazing even in economy class. The food was good, and beverage was served constantly during the flight to keep us hydratated. Crew on Qatar Airways is the best you can find, they are very polite and kind, treating you like a king in particular if you are a member of their frequent flyer program like I am. The aircraft on all four flight was an A330-200/300, and comfortable. On the first flight the A332 (A7-ACF/12 years old) was refurbished and it seemed quite new, Ife (Oryx ONE) on this flight was displayed on large HD touch screens. On the other flights the aircraft wasn't refurbished so the IFE was old and controllable only with the remote control (there was also a big ife box under windows seats obstructing more than a quarter of foot room) - the seats weren't as comfortable as the ones on the first aircraft. Aircraft age was the main negative aspect of this trip, but on all four aircraft there was a wide selection of music, tv, film, games. All four flights were on time and ground service in Doha was good.",1
"  Hong Kong to Dubai. They blocked seats so when I tried to check in online 48hr before, I was stuck in the seat they assigned me. We were a family of four travelling together. We were separated in the huge A380. I cannot move our family to sit together or even close by. I called the customer service, and also raised my concern with their social media team, the feedback I got was that all passengers had already checked in by then - which was ridiculous. And they refused to help. Their staff told me, in a quite rude way, that I should've paid a lot more for a better cabin. Second, on the flight from Dubai to Hong Kong, they ran out of food (food, not food selection) when the trolly reached me. I asked why this happened since there was fixed number of passengers/seats on board, and the flight attendant, at first, said that this should be expected by passengers, and asked if I wanted to have cup noodle instead. Until later she said that was a mistake. She then offered me one sandwich and said to me that it supposed to be staff's meal but I can take it (any staff will have no meal during the flight?) I refused. Later on when they started to collect left-overs, miraculously, the flight attendant 'found' one meal and wanted to offer to me. This is disgusting. This is simply the worst experience ever.",0
"  
Milan to Marseilles via Paris CDG. Lost our luggage for 3 days before we got it all back. Terrible communication, totally dysfunctional process, no one could tell us where our luggage was or when we would have it.",0
"  Paris to Taipei. Excellent experience on this first EVA Air flight. Nice ground service, fast and efficient. Access to Star Alliance lounge in Paris, which is nice, cosy and with fine food and beverages. Priority boarding quick. In flight experience was great, starting with a top quality service from attendants. Seat is confortable. Mattress and pajamas are nice touches. Toiletries bag one of the best I ever had. Entertainment could have a larger and better selection of movies. Food excellent, wines good. A remarkable service quality overall that makes me looking forward to my next EVA Air trip. Also fly return, with same if not better experience, so consistency another plus from EVA Air.",1
" Tokyo to New York. Excellent service began from check-in, with dedicated check-in room and security screening area. ANA Suite Lounge was nice, but I some how found SQ Private Room at Changi, QF First Class Lounge at SYD and the Concorde Room at JFK better. My flight was exactly the day after ANA launched its new 777 configuration to JFK, so I got stuck with the old version. However, the cabin was sparkling clean and showed no need for upgrading. My complaint was mainly about obstructed view from the Cube, and lack of storage space providing the size of the suite. Lavatory was underwhelming for first class, especially when comparing to my experience on the new SQ Suites just a week earlier. Catering was excellent, as expected from ANA. I picked the Western menu with a lot of skepticism but then was surprised about how tasty the dishes were. The wagyu steak was indeed overcooked, as anticipated on board a flight, but it was, at the same time, tender, juicy, and flavorful. ANA 777-300ER had excellent external camera, but they decided to turn it off upon landing, so I could not have a great landing view as I normally enjoyed with other airlines.",1
"  First time on Qatar using BA miles. I find it hard to understand why this airline is so appreciated. It’s no better than any other. Food is average with hot drinks not being served with breakfast due to the danger of spilling. Half the cabin crew are good and efficient, the other half are not. The A350 is good and comfortable with sufficient legroom, the 787 less so. ",0
"  Cairo to Manila via Istanbul. We came from a long trip in 3 countries and flight going home from Cairo, was Turkish Airlines. Our experience from our tour turned into nightmare when our connecting flight with the same airline going home to Manila left us. We knew our rights as passengers on this case and asserted it, but this airline did not make our 24 hours wait in the airport comfortable. We learned that they cannot issue us e-visa because we were not Shengen or US visa holders, so we understood that we cannot avail their free hotel accomodation in the city plus avail free airport transport. The least they could do to compensate their shortcomings to us is to at least accommodate us in a hotel inside the airport or have us stay in their lounge. Their wifi was limited for only an hour and was not enough for us to communicate with our loved ones, as well as do transactions with our associates in Manila as their shortcomings to us affected many of our business activities and other commitments. With the food, we have to get stub every 5 hours before we can eat. Its a long walk to go there then walk again going to the restaurant. The staff are all rude and does not really care. I wonder why your have ""Care Points"" with people who does not care.",0
"  Absolutely atrocious service of the ground staff and call center staff. I was denied boarding by their check-in staff, because I had some minor marks on my passport. The staff kept listing out the 'rules' and 'terms and conditions', and even when I asked for some solutions it was back to the rules; literally no insights When I asked about re-booking it's 'we can't help, you need to contact your travel agent'. The staff showed no compassion and provided no useful advice. I had a return flight; my outgoing flight was from London to India, then my return flight was Bahrain to London. They listed me as a 'no-show' on their 'system' - which means they also canceled my Bahrain - London flight, which I can easily make (I will get a new passport in 2 days' time) and then fly to India to continue my trip as planned (minus a few days). To get on that flight from Bahrain to London I have to pay a 200GBP 'change fee' and the difference in fare - for a flight that I have already paid for, and that I would have made. ",0
" Bogotá to Paris. Air France business class is excellent! I flew from Bogotá to Paris, flight attendants were very attentive, friendly and professional. The full flat bed seats are very comfortable, I slept almost during the entire flight. Food was good (food is amazing when flying from Paris). The Inflight entertainment is great, many movies (old and recents ones) Totally enjoy flying with Air France.",1
" I am very disappointed with Air France service and customer support and would convince everyone to avoid this airline in future. It was not possible to reach support via phone (support line was not even posted on their website, moreover no one responded), or official app. Help desk was closed, though it should have been opened according to the opening hours. I contacted help via app to find out where other help desks were located in CDG airport, but I was denied to obtain any answer, I was told to find out it myself. My flights were delayed due to the strike in Paris, and it turned out once in trouble Air France does not care about their customers, and holders of Flying Blue loyalty program. I obtained new ticket for flight to Washington next day, but obtained no hotel to stay because of delay. Also quality of service and seats onboard was poor. Avoid CDG airport and Air France if you can!",0
"  On 29 May 2022 I had flight (TK873) from Teheran to Istanbul at 5,15AM and then a connection (TK1861) from Istanbul to Rome. I had to arrive in Rome at 10AM. The flight from Teheran to istanbul delayed by more than one hour, thus I lost the connection to Rome. Nobody was waiting for me at Istanbul airport nor helped me at least to try to get the flight to Rome. Moreover, I went to the Business Transfer Desk of Turkish Airline and a very rude person told me that the only possibility was to fly the morning after to Rome, because all the flights of the same day to Rome were full. Then, I shown my disappointment and the person of the Transfer desk was also more rude. At the end, he found for me a flight from Istanbul to Munich and then to Rome. So I arrived to Rome at 6,25PM instead of 10AM, after several flights. Then, I complained with the person of the Transfer Desk and he answered that when I asked the first time he only checked whether there was available seats in business class and not in economy. However, after half an hour the seats was any more available. After few days I wrote a negative feedback directly to Turkish Airline and they answered that they were sorry. ",0
"  At Haneda Airport, I encountered terrible ground staff. They seemed reluctant to have passengers check in at the counter insisting customers use the kiosk to print their boarding passes and baggage tags. There were staff members present, but they seemed to be in a bad mood or too tired and didn't want to help passengers with issues they were facing. I always thought that Japan Airlines' service was full of enthusiasm and proactive in assisting customers, but that was not the case. ",0
"  Baku to Los Angeles via Istanbul. I have not even taken this flight yet, it's coming up in March and I am already frustrated beyond words with the Feedback System. When my itinerary from Baku-LAX (17 hours in the air) was purchased, I bought seat selection for extra comfort, especially the long haul from IST-LAX and return. I had to make a slight change in the departure from Baku-IST by a few hours earlier. Because of this change on the initial segment of my flight, all seat selections for the entire itinerary were cancelled, a loss of over 200 euros. I chose to repurchase the seat selection again for a cost of 200 euro. After 2 formal requests to be refunded for the loss of 200 euros in cancelled seat selections, TK simply keeps referring me to the feedback form online and reminds me that I agreed to the changes before I confirmed that change in departure date. Had the vague message at the time of ticket change been made clear, something like ""your seat selections for ALL seats on this entire itinerary will be lost"" I would have never changed the departure date. However, the corporate response from TK continues to refer me to this feedback form which keeps sending me the same unsatisfactory response. TK prides itself on flying to more countries than any other, but who cares. The focus should be on improving the customer experience when dealing with people. TK staff have no decision making power and zero ability to change anything, even after talking to the ""highest level"" of customer service. Robotic staff who repeat the same corporate jargon and policies over and over are not trained at all to deal with real people with real issues. Get it right and start treating long term customers better or your once a week flights to random African destinations don't mean much.",0
"  Singapore to San Francisco. I previously had positive things to say about Singapore Airlines, but in this case, I was very frustrated. I paid extra for an upgraded seat with extra legroom. Instead, the seat was in front of the exit door and had less legroom. In addition, the TV was broken and so for the entire 16 hour flight, I could not watch any TV. Two thumbs down.",0
"  Hong Kong - Istanbul - Copenhagen on B777-300 and A321, respectively. Flew 5+6 September 2017. Both flights on time. I arrived very early due to few connections to HKG from my departure town Danang by Vietnam with a LCC carrier, Jetstar. Thus I had to leave transit and pick luggage after immigration. However, I could not check in early in HKG so I had to take the Airport Express train and backtrack myself some 40 km downtown for city check in which is possible 8 hours prior to departure while in Airport only 4 hours are granted. The city check-in took 2 minutes when finally there, but to access the Kowloon station in question (for city check-in) took me >1 hour. By checking in there I got rid of my luggage and the BP issued granted me lounge access upon returning to HKG airport. I tried all three Star-alliance lounges and found Silverkris having the best food, drinks, and staff, while the Thai and United lounges had stunning panorama view towards the tarmac making up for modest food and drink supplies (and no champagne) and very few staff. Onboard the FAs are friendly and caring. However, all appear to be of only one (Turkish?) nationality. This is a pity as they obvious have received limited, internal training - which results in a less perfect flight experience as the FA’s, in general, have lower skills and possess limited, modest exposure. The wandering cook onboard is superfluous in my view and makes a clown out of himself. IFE good. Headphones were of superb quality (“Devon”). Chairs turned into spacious flat beds. Full set of bedsheets provided. Toilets clean throughout. Food was very good with options. Two full meal rounds served on this 12 hour flight - plus dine on demand was apparently possible (hot snacks). Drinks fine with G.H. Mumms champagne. Transit in Istanbul is normally a hassle but this time it went smooth and no queues. CIP lounge is a breeze – I had nice shower and a delicious breakfast. The last sector IST-CPH was on an A321-200 with true business class seats (2 x 2 configuration) and good service including offering champagne in mini-bottles. Only 6 seats were occupied (out of 20) on this morning flight. IFE also good.",1
